Indonesia,Javanese,Alphabet
alap,"i rêmbên, ora kêsusu; 2 (-santun) sarwa alon lan sarèh. ii dialap: diundhuh, dijupuk.",a
alas,"1 lèmèk, lambaran; 2 dhasar, têtalês; dialas(kan): dilèmèki, didhasari, didokoki têtalês (wêwaton); alasan: dhêdhasar, wêwaton.",a
alas cawan,"cawan, lèpèk.",a
alas kaki,dhingklik pancadan.,a
alas kata,bêbukaning layang.,a
alas rumah,têtalêsing omah.,a
alat,"piranti, prabot; alat kerajaan: upacara kraton; peralatan: 1 prabot, ubarampe, upacara; 2 nindakake tatacara.",a
alat-alat,kayadene.,a
alau,manuk rangkok.,a
"algoja, algoju",lêgojo (tukang ngukum kisas).,a
ali,"i mengali: tansah ngaton (nglêleda lsp). ii ali-ali: bandhil; membuang ali-ali, mengali-ali: mbandhil.",a
alih,"beralih, alihan, ngalih, malih; mengalih: ngalih; dialihkan: diêlih, diingsêr.",a
alih-alih(kan),jêbule ...,a
alim,bngs. blêndok damar.,a
alim,wong pintêr babagan agama.,a
alin,dialin: diginyêr nganggo êndhog lsp. supaya mari lara.,a
aling,"dialing(-aling): diiling-ilingi, ditamatake.",a
alip,penyepit alip jumput cilik.,a
alir,"i mengalir: mili; dialirkan: diilèkake; aliran: ilèn-ilèn, kalenan. ii (umpan alir): kewan urip-uripan dianggo pakan pancing.",a
alis,alis; kc. kening.,a
alit,"i 1 pinggiran (sêrêt lsp) kang diirêng nggalir kyt. mripat dicêlak; 2 (tali alit) uwêd gangsingan; 3 (ukur alit) cêngkorongan, pranatan; dialit: 1 dicêlak (tmr. mata), dicèt ing têpine; 2 diplipis (diwiru) tmr. srêban lsp.; 3 dirancang, dipranata. ii ut. alitan: tampar wuwuhan.",a
alkah,i wijining manungsa; 2 asaling urip.,a
alkari,lak.,a
alkissah,"dongèng, crita.",a
alku,jomblang.,a
allah subhana wa taala,allah kang pantês ingalêmbana sarta mahaluhur.,a
allah taala,gusti allah mahaluhur.,a
allahualam bissawab,allah kang priksa ing sanyatane.,a
allahuma,dhuh allah!,a
almanak,"almênak, pananggalan.",a
almarhum,jênate.,a
almari,lêmari.,a
almas,intên.,a
almasih,sang panêbus (nabi ngisa).,a
alpa,"sêmbrana, ora ngati-ati; dialpakan: dilirwakake.",a
alperes,bngs. opsir.,a
alu,"i dialu(-alukan): dipêthuk, dipapagake, diancarani. ii alu; alu-alu: ar. iwak sagara.",a
alum,"mengalum: alum, susut.",a
alun,"alun: mengalun, beralun: ngombak.",a
alun-alun,alun-alun.,a
alung,gacuk.,a
alungan,"blumbang, tlaga.",a
alur,beralur: rêrêmbugan.,a
alur bibir (-hidung),gumun (lêgokan ing lambe dhuwur).,a
alur(an),1 lêgokan kang nggalêr dawa (ing kayu lsp.); 2 peranganing kali utawa sagara kang jêro kang dianggo dalan prau.,a
alus,kc. halus.,a
am,"i umum, sumarambah, kaprah. ii taun.",a
ama,"ama, gêgrêmêt kang ngrusak têtanduran.",a
amah,babu.,a
amal,panggawe bêcik; di'amalkan: ditindakake tmr. piwulang lsp.,a
amamat,kaimaman.,a
aman,"slamêt, têntrêm, ora rusuh.",a
amanat,"1 kaslamêtan, katêntrêman; 2 apa-apa kang dititipake (dianggo tanggungan, dianggo cêkêlan, dipracayakake) 3 piwêling, piwêkas; diamanatkan: dipracayakake, dipasrahake.
--- 11 ---",a
amang,"i diamang(-amang): diagag-agagi, digêgiro; dikira-kira, diawag. ii campuran ing timah.",a
amar,"dhawuh, pêpacuh; diamarkan: didhawuhake, dipacuhi.",a
amarah,nêpsu.,a
amat,"i bangêt. ii di(per) amat-amati: diawasake, ditamatake, diulat-ulatake.",a
ambai,bngs. irig gêdhe didokok ing prau dianggo golèk iwak.,a
ambai-ambai,1 bngs. kêpithing; 2 bngs. kêmladheyan.,a
ambal,i babud. ii berambal-ambalan: arak-arakan.,a
ambang,i 1 palang (ing lawang lsp); 2 tlundhag; 3 pinggiran ut. plisir ing klambu lsp. ii kurang lancar lakune tmr. prau; diambang: diêndhêg-êndhêgi lakune tmr. prau.,a
ambar,"i cêmplang, kêmba. ii ambêr; ambar batu (kuning): bngs. watu rupane kuning.",a
ambaru,"tembok ut. watu ing pinggir kali, sagara lsp.",a
ambat,diambat: dioyak; kc. hambat.,a
ambau,i pring (kayu) ditrap ing bambing prau supaya bisa amot akèh. ii mengambau: mlumpat; anjlog; terambau: tiba anjlog (kantêb).,a
ambil,"diambil: 1 dijupuk; 2 diêpèk, dialap; 3 dipêthik (tmr. karangan lsp); 4 ditampa (tmr. surasaning têmbung lsp); 5 dipigunakake (tmr. reka, srana); 6 digolèki (tmr. iwak lsp); diambil ingatan: dicathêt; diambil simpan (ringkas): diringkês, dicêkak; berambil-ambilan: padha ngalap; salah ambil: klèru tampa.",a
ambin,1 bngs. êmban-êmban; 2 (tali-) bngs. tampar dianggo nggêgendhong; diambin: 1 (ut. dikelek ambin) diêmban ing bangkekan; 2 digendhong lsp. nganggo tali lsp; ambinan: gendhongan.,a
amboi,wadhuh!,a
ambul,mengambul: mêndal bali (mêncungul).,a
ambung,"i bngs. kranjang ut. tenggok dianggo nggêgendhong diêrut olèh êndhas; diambung: digendhong kaêrut olèh êndhas. ii diambungkan: disawatake munggah, diumbulake.",a
ambung-ambung,dudulan (ar. têtuwuhan).,a
amil,"1 wong kang dana saliyane jakat; 2 kaum, lêbe, pêngulu desa.",a
amin,amin.,a
amir,senapati.,a
amirulbahari,senapati lautan.,a
amirulmukminin,(pangarêping wong islam) sêsêbutane para kalipah.,a
amis,amis.,a
amma badu,sawuse iku.,a
ampai,"i diampai: disampirake lan dipepe; ampaian: sampiran pamemean. ii lêncir, kc. lampai.",a
ampai-ampai,ar. kewan sagara kang nggatêli.,a
ampang,i gampang; ii kc. empang.,a
ampas,"ampas, sêpah.",a
ampat,papat; kc. empat.,a
ampelam,pêlêm.,a
ampelas,rêmpêlas.,a
ampu,"diampu(kan): 1 disangga, dicongkogi; 2 diratoni, diprentah.",a
ampuh,"i banjir, lubèr. ii gêdhe dayane.",a
ampul,"mengampul: mbêdhodhog, mundhak gêdhe.",a
ampun,"apura, pangapura; diampuni: diapura.",a
amsal,"sanepa, upama.",a
amuk,mengamuk: ngamuk.,a
amung,"teramung: sawiji, ngêmungake; inilah saudara tuan yang teramung: siji iki sadulurmu.",a
anai-anai,rayap.,a
anak,"1 anak; 2 bocah; 3 turun(an); 4 wong ing, up. anak malaka; 5 ing têmbung camboran atêgês kang cilik up. anakbukit: (gumuk), perangane kang cilik (up. anak gobèk: cocoh); beranak: duwe anak, manak; diperanakkan: 1 dianakake (dilairake); 2 diêpèk anak; peranakan: 1 pranakan; 2 wadhah bayi; anakan: 1 anakan (uyahan); 2 (ut. anak-anakan) golèk, bonekah.
--- 12 ---",a
anak air,kalèn (sidhatan).,a
anak alang,pêndhadha.,a
anak baju,klambi rangkêpan.,a
anak buah,"wong-wong kang ana ing omah, kapal lsp.",a
anak kapal (perahu),bêbauning prau.,a
anak lidah,sêntil.,a
anak mas,anak pèk-pèkan.,a
anak negeri,wong asli ing panggonan kono.,a
anak rambut,"athi-athi, sinom.",a
anak telinga,kêndhangan kuping.,a
anak tunggal,bocah ontang-anting.,a
"anakanda, anakenda, anakda",ingkang putra.,a
anakhoda,nakoda.,a
anang,"ênggèr, thole.",a
anasir,jasad asal.,a
anbar,ambêr.,a
anbiya,para nabi.,a
ancai,"bujat, rêmuk, rusak, ambyar; diancaikan: dirusak, dirêmuk, dibujat.",a
ancak,ancak.,a
ancam,"diancam: diancam, diincim-incim.",a
ancar,wit ipuh.,a
anda-musang,klênjar rase sing ngêtokake dhèdhès.,a
andai,"(se)andainya: saupama; berandai-andai: ngrêrantam, rêrêmbugan.",a
andak,"i diandakkan: digulung sathithik. tmr. layar, dicêndhakake dikikis; kc. pandak; ii andak-andak: trêkadhang; kadhang-kala.",a
