Indonesia,Javanese,Alphabet
lambur,dilambur: diêlêbi banyu lsp.,l
lamdukpai,ar. têtuwuhan rambat.,l
lamin,pelaminan: paturon pangantèn; kc. kelamin.,l
lamina,baju lamina: bngs. klambi kere.,l
lampai,lêncir; melampai-melampai: miyut-miyut.,l
lampam,ar. iwak loh.,l
lampar,"jênggar, sumêbar wrata; melampar: njênggar, sumêbar mratani; berlamparan: pating slêbar mratani.",l
lampas,"dilampas: diêlus, digilapake, dipolis.",l
lampau,"liwat, kliwat; melampau: kliwat, kêladuk, kadohên; dilampaui: 1 diliwati; 2 dilangkahi, diungkuli; terlampau: kêliwat-liwat, bangêt.",l
lampin,"(kain-) gombalan, popok.",l
lampir,dilampirkan: dilampirake; lampiran: lampiran.,l
lampit,(tikar-) lampit.,l
"lampok, lampuk",tumpukan pari sawise diênèni.,l
lampu,diyan.,l
lampung,"melampung: kumambang, kampul-kampul; pelampung: kambang.",l
lamun,"manawa, samono mau yèn.",l
lamur,lamur.,l
lanang,dilanang: ditampar ut. diplintir nganggo bandhul.,l
lanar,êndhut ing sagara.,l
lanat,"laknat, bêbêndu; dila'natkan: dibêndoni, disotake, disebratake.",l
lanau,"lêndhut, êmbêl.",l
lanca,ar. prau.,l
lancana,tandha; têngêr; ciri.,l
lancang,"i ar. prau pêrang jaman kuna. ii lancang, clandhakan, kêmajon. iii ancak.",l
lancap,"alus sarta wrata, papak alus.",l
lancar,"rikat, bantêr lakune, lancar; melancar: lumarap (nylorot) bantêr; dilancakan: dilarapake ditlorongake.",l
lancip,"lancip, lincip.",l
lancit,"melancit: muncrat, mêncurat.",l
lancung,"palsu, ora murni, tiron; melancung: ngapusi, mblibuk.",l
lancung-kicu,apus krama.,l
lancur,mancur.,l
lancut,"i tanpa gawe. ii melancut: muncrat, mêncurat.",l
landa,"melanda: nrabas, nêmbus, nrajang.",l
landai,"rada mayat tmr. palêmahan, ngêndhêlong tmr. tali lsp.
--- 103 ---",l
landaian,1 landeyan; 2 ukiran kêris.,l
landak,landhak.,l
landas,"ganjêl, landhêsan; landasan: paron, landhêsan.",l
landuh,mblêndhuk.,l
landung,"landhung, kêdawan.",l
landut,melandut: katon mbrênjul ut. mblêndhuk (up. dhompèt ing kanthongan).,l
lang,manuk wulung; kc. elang.,l
langah,"terlangah, terbelangah: mênga, njêblag.",l
langau,(lalat-) lalêr wilis.,l
langgaian,anjang-anjang.,l
langgam,"i berlanggam: rêrukunan, bajongan tuku barêng. ii cara; selanggam: padha cengkoke, nunggal carane.",l
langganan,lêngganan.,l
langgar,"dilanggar: 1 ditumbuk, ditrajang; 2 ditêrak tmr. larangan lsp; pelanggaran: palanggaran (prakara nêrak anggêr-anggêr).",l
langir,"(landha, sabun lsp) kang dianggo kramas; melangir, berlangir: adus kramas; dilangiri: dikramasi.",l
langit,"langit; langit-langit: 1 plangitan; 2 (ut. langitan mulut) cêthak; melangit: sundhul langit, ent. muluk bangêt.",l
langkah,"jangkah, tindak; melangkah: njangkah, mlangkah; dilangkah(i): 1 dilangkahi; 2 ditêrak tmr. larangan lsp; dilangkahkan: 1 dijangkahake; 2 disarati murih slamêt tmr. prau kang arêp lêlayaran; pelangkah: sarat srana kanggo nyarati prau kang arêp mangkat supaya slamêt; pe(r)- langkahan: slamêtan lsp nalikane arêp ngangkatake prau.",l
langkai,"bêcik wangune; kc. lampai, ramping.",l
langkan,jrambah kang dhuwur (balkon).,l
langkap,"i perangan wadhah suruh ing tepak (wadhah kinang), ii kc. lengkap.",l
langkas,"cukat, trêngginas, mêmpêng.",l
langkat,têlung dina êngkas.,l
langkau,kêlangkahan (pangetunge lsp); dilangkaui: dilangkahi.,l
langlang,"nganglang, midêr-midêr.",l
langsai,"langse, gubah.",l
langsar,"1 katon dawa nglojok; 2 lêncir, dhuwur jêjêg.",l
langsat,langsêp.,l
langsi,"melangsi: lungse, langkah saka ukurane.",l
langsing,"i bantas, sêru tmr. swara; melangsing: ngêlik, mbrêngêngêng tmr. kombang. ii alus bêcik tmr. bangkekan lsp.",l
"langsuir, langsuyar",sundêl bolong.,l
langsung,"1 têrus, tanpa lèrèn, ngênêr têrus; 2 lêstari; 3 rampung, sida; berlangsung: sida kêlakon; dilangsungkang: ditêrusake, dilêstarèkake, dirampungake.",l
langu,rada badhêg (ambune iwak buthuk).,l
langut,melangut: krasa kangên (kêpengin) bangêt.,l
lanjar,"dawa nglawèr, dawa pucuke mêrit.",l
lanjung,cilik dawa tmr. têbu lsp.,l
lanjur,"nglantur (nganti suwe); dilanjurkan: dilanturake, diulur; terlanjur, telanjur; kêbanjur.",l
lanjut,"1 dawa (tmr. umur), nglantrah tmr. crita lsp; 2 têrusan, banjur bae; dilanjutkan: 1 didawakake, diulur; 2 dibanjurake, ditêrusake.",l
lansing,kc. langsing.,l
lantai,"jrambah ut. gladhaging omah panggung, prau lsp; besi lantai: wêsi blebekan.",l
lantak,"dilantak: diblêsêkake sarana dithuthuk kyt. paku, pathokan lsp, dilantaki; emas lantak: êmas cithakan; pelantak: lantak, gandhèn gêdhe kanggo ngêbruk lsp.",l
lantang,1 bawera tmr. pandêlêng; 2 katon (krungu) cêtha; 3 suwung blung tmr. pasar lsp.,l
lantaran,"jalaran, marga.",l
lantas,"banjur, nuli, têrus; melantas: nrabas, mlêbu têrus.",l
lantik,dilantik: dikêpyakake (ênggone têtêp ngrênggêp pangkat); pelantikan: kêpyakan.,l
lantin,"lêntera, ting.",l
lantung,"sumêntuk tmr. ambu, mbrêbêgi, bangêt tmr. swara.",l
lanyak,dilanyak (-lanyak): diidak-idak ut. diilês-ilês tmr. lêmah lsp.,l
lanyau,"lêmah lêndhut kang atos ing dhuwur. [dhu...]
--- 104 ---",l
lapah,melapah: 1 midak apa-apa kang sumèlèh ing dalan lsp; 2 mothèng-mothèng (ngrêncak) kewan bêlehan.,l
lapal,lapal; kc. lafal.,l
lapang,"1 jêmbar, ombèr, kobèt, lêga; 2 ludhang, sêla ing pagawean; dilapangkan: 1 dijêmbarake, diombèrake; 2 disêlakake; tanah lapang: ara-ara, alun-alun; kelapangan: 1 lowahan; 2 lêga, sêla ing pagawean; lapangan: papan jêmbar; lapangan bekerja: patêban nyambut gawe; lapangan terbang: papan palerenan mêsin mabur.",l
lapar,"ngêlih (luwe); kelaparan: kêluwèn, kalirên.",l
lapau,warung; kc. lepau.,l
lapik,"1 lèmèk, sèmèk, lambaran; 2 lèpèk (cawan); lapik kaki: trumpah.",l
lapis,"lapis, sap; dilapis: dilapis, dirangkêpi; lapisan: lapisan.",l
lapuk,"1 jamur(ên) tmr. kayu; 2 gapuk, padha popol, buthuk tmr. iwak.",l
lapun,bngs. jaring kanggo masangi kidang lsp.,l
lara,"1 sêdhih, susah; 2 (-berangti) kasmaran.",l
larai,dilarai(kan): 1 dipisah; 2 diêndhakake atine ut. nêpsune; pelarai: wong kang misah.,l
larak,rêngkêd bangêd tmr. isining durèn lsp.,l
larang,"dilarang: dilarangi, diwalêri, dipênging; larangan: larangan, pêpacuh, wêwalêr.",l
larap,"i laris, payu. ii dilarapkan: diudhari lan diulur tmr. tampar lsp.",l
laras,"1 dêlêging wit (kang cilik lêncêng); 2 wuluh bêdhil; 3 kanggo petunganing bêdhil; 4 (ut. selaras): salaras, cocog.",l
larat,"ut. melarat: 1 mlaku ut. maju alon; 2 mrèmèn-mrèmèn, tular-tumular; 3 kêlantur-lantur, kêdawa-dawa.",l
larau,"rêribêd, rêrusuh; dilarau(kan): diribêdi, dirusuhi.",l
lari,"playu, mlayu, minggat; dilarikan: 1 diplayokake; 2 diinggatake; 3 diungsèkake; pelari: wong kang minggat, wong kang ngungsi; pelarian: 1 playu; 2 (ut. larian) papan kang dianggo playon (balapan); 3 dalan ciyut (sauruting bètèng), èmpèr-èmpèraning lotèng; selari: bêbanjêngan.",l
larik,dilarik: dibubut (diêlus nganggo pambubutan); pelarikan: piranti pambubutan.,l
laris,laris; pelaris: panglarisan.,l
laru,laru.,l
larung,"krêndha, trêbêla.",l
larut,"1 ajur, luluh; 2 susut; 3 lungse tmr. waktu; larut malam: lingsir wêngi.",l
las,"blas, bablas.",l
lasa,pêpês.,l
lasah,"dilasah: disapu, digêbugi; pelasah: kang dianggo nggêbugi.",l
lasak,dianggo srabudan ut. padinan tmr. piranti lsp; pakaian pelasak: sandhangan padinan.,l
"laskar, lasykar","wadyabala, prajurit.",l
lat,"lêt, antara.",l
lata,"air lata: grojogan; orang lata: wong asor; melata: nggrêmêt, nlosor.",l
latah,duwe saradan sok nirokake pratingkahe wong liya.,l
latam,dilatam: diênêt-ênêt supaya madhêt (kayata kapuk ing kasur).,l
latih,"lantih; dilatih(kan): dilêlantih, digêgulang; latihan: panglantih.",l
latuh,ar. ganggêng sagara.,l
latuk,(parang-) bngs. berang.,l
lau,daun lau: ar. têtuwuhan rambat.,l
lauk,lawuh; lauk-pauk: lêlawuhan.,l
laun,"kc, lambat laun.",l
laung,melaung: njêlih (mbêngok) sêru.,l
laut,"sêgara; melaut: mênyang ing têngahing sêgara; dilauti: dilayari, disabrangi; lautan: sêgara gêdhe.",l
lawa,"melawa: nyêgat lakuning pangantên; pelawa: alangan, pakewuh.",l
lawah,"i gêguyon, banyolan; kc. lawak. ii bawera, kobèt.",l
lawak,"banyolan, lêlucon; pelawak: banyolan, dhagêlan.",l
lawan,"1 lawan, tandhing, sisihan; 2 mungsuh; 3 kosokbali; melawan: nandhingi, madhani; dilawan: dimungsuh, ditandhingi, dilawan; perlawanan: mêmungsuhan, kosokbalèn; diperlawankan: ditandhingake, dimungsuhake.
--- 105 ---",l
lawang,"i ar. wit. ii lawang, gapura, regol.",l
lawar,rajangan ut. suwiran iwak mêntah; dilawar: dirajang ut. disuwiri tmr. iwak.,l
lawas,"melawas: 1 jêmbar, bawera, ora kaalang-alangan tmr. pamawas; 2 ngarang-arangi tmr. wêtuning wowohan; 3 lancang; kelawasan: ombèr bangêt, turah-turah.",l
lawat,"dilawat(i): ditinjo, ditiliki, dilayati, didhayohi.",l
lawi-lawi,"lancur (ing buntut jago, mêrak lsp).",l
layah,1 (ut. melayah) miyat-miyut tmr. wit kanginan lsp; 2 bngs. krudhuk; melayah: nglèmbrèh nutupi rai.,l
layak,"i layak, pantês, patut; selayaknya: sapatute. ii dhèndhèng iwak loh.",l
layam,"berlayamkan (-pedang, -lembing): ulah (pêdhang, tumbak).",l
layan,dilayan(i): diladèni; pelayan: paladèn.,l
layang,"i melayang: nglayang (mabur): dilayangkan: dikleyangake (diaburake), dikirimake tmr. layang. ii dilayang: diiris paron tmr. pêlêm lsp.",l
layang-layang,1 layangan; 2 sriti.,l
layap,cêndhèk (mèh nggêpok lêmah) tmr. omah panggung; bambinge mèh nggêpok banyu tmr. prau; melayap: nlèsèr mèh nggêpok lêmah (banyu) tmr. manuk mabur lsp.,l
layar,1 layar; 2 (kain-) motha; 3 gêbêr; berlayar: lêlayaran; dilayari: 1 dilari ênggone nggolèki nganggo nunggang prau; 2 dilayari; dilayarkan: dilakokake ut. diangkatake tmr. prau; pelayaran: palayaran.,l
layon,layon.,l
layu,alum.,l
layur,dilayur: dipanggang ut. dipanasi tmr. pênjalin lsp. supaya gampang diêluk lsp.,l
lazat,"enak, kêpenak, mirasa.",l
lazim,"kaprah, lumrah kanggo; dilazimkan: dilumrahake.",l
lazuardi,rajawêrdi (biru ênom).,l
lebab-lebup,swara blag-blug.,l
lebah,tawon; air lebah: madu; sarang lebah: tala.,l
lebai,"lêbe, kaum, modin.",l
lebak,"swara bug, blêg.",l
lebak-lebuk,"blag-blug, gêdêbag-gêdêbug.",l
lebam,i abang biru (mêntas digêbugi lsp); biru lebam: biru êrêm. ii swara blêg. iii ar. iwak sêgara.,l
leban,laban (ar. wit).,l
lebang,mêtêng tuwa.,l
lebap,swara blêg.,l
lebar,amba.,l
lebaran,lêbaran (bakda pasa).,l
lebat,"1 kêtêl tmr. rambut lsp. mbiyêt tmr. woh; 2 dêrês tmr. udan, ent. tmr. tibaning mimis lsp.",l
lebih,"luwih, turah; melebih: ambêk luwih; berlebih-lebihan: kêladuk, kêluwih-luwih; dilebihi: diluwihi, diturahi, diungkuli; dilebihkan: 1 diluwihi, dikèhi; 2 diunggulake, diêgungake, dianggêp pinunjul.",l
lebu,"lêbu, blêdug; lebu duli: kawula.",l
lebuh,dalan gêdhe kang ana warunge kaya pasar.,l
lebuk,"swara blug, gêdêbug; berlebuk-lebak: pating tlêbuk.",l
lebum,swara blug.,l
lebun,"melebun: nylundupake barang palsu, mblibuk.",l
lebung,"swara jêgur, glung.",l
lebur,"i lêbur, luluh; dilebur: dilêbur, diluluh. ii swara jêgur.",l
lecah,"jêmèk, jêblog.",l
lecak,"jêblog, jêmèk, mblêthok.",l
lecap,têlês kêbês.,l
lecas,cumlês.,l
lecat,licin lecat: klimis (lunyu) bangêt.,l
leceh,"ndlèdèk plikêt (up. malam, gêtih lsp).",l
lecek,"(main-) bêngkat; dilecek: 1 disampar nganggo pucuking sikil; 2 digêrus. lecer, ngêmbêr, ngêmu banyu tmr. tatu lsp.",l
lecet,"mlècèt, nglinyam, dhidhal.",l
lecir,"mlècèt, nglênyêm.",l
lecit,"melecit: mêcuthat, mêcothot mêtu.",l
lecok,"dilecok: digosok, digêbêg.
--- 106 ---",l
lecot,"mrucut, lolos.",l
lecuh,"lonyoh (tmr. janganan digodhog lsp), malêm tmr. jarit.",l
lecuk,nglêmir tmr. jarit lsp marga kêrêp dianggo.,l
lecup,"swara sruput, crup.",l
lecur,"ut. melecur: mlocot, mlêmpung (up. kulit kêsokan wedang).",l
lecut,"swara mak bêt, wing; dilecut: disabêt.",l
ledak,"meledak: njêblug, mblêdhos.",l
ledang,"i ênom ut. maya-maya tmr. warna, sêmu pucêt. ii meledang: pamèr, umuk sugih lsp.",l
lega,"lêga (tmr. papan, wêktu lsp); lega dada: lêga atine.",l
legam,"i hitam legam: irêng bangêt. ii swara blêng, jlêng.",l
legap,"swara gabrus, gropyak, gabrus.",l
legar,"1 swara glêgêr. 2 lowahan, papan kang lêga.",l
legat,1 lêncêng ênêre tmr. lakuning prau lsp; 2 mancêrêng tmr. pandêlêng.,l
legit,lêgi; kc. manis.,l
legu,"melegu: nêkuki pinggiraning nam-naman (klasa, kepang lsp) kang pating crongat.",l
legum,"swara jlung, glung.",l
legum-legam,"swara glang-glung, jlang-jlung.",l
legundi,lêgundhi.,l
legung,ut. pinang legung: ar. wit.,l
leher,gulu; batang leher: githok.,l
leja,"dileja: dipoyoki, diunèni kang ala-ala.",l
lejang,lumêpas (lumarap) bantêr.,l
lejat,enak bangêt; kc. lazat.,l
leka,kêtungkul.,l
lekah,"rêngka, bênthèt; pintu pelekah; saèm. cêndhela ing gladhaging prau.",l
lekak,"melekak: pêngkêrêdan, muntar-muntir.",l
lekak-lekuk,"pating jrêglong (jluwog), padha lêgok-lêgok.",l
lekang,"1 gampang dioncèki (disèsèt lsp); 2 (ut. melekang) rêngka, bêngkah, nêla.",l
lekap,"kêlèt, krakêt; melekap: kumrakêt.",l
lekap-lekup,swara pating jrêkluk (grêpyêk).,l
lekar,bngs. paga ut. salangan kanggo wadhah kuwali lsp.,l
lekas,"rikat, enggal.",l
lekat,"1 krakêt, plikêt; 2 rakêt, supêkêt; melekat: krakêt, tumèmplèk.",l
lekir,panau lekir: panu kang amba.,l
lekis,ar. wit.,l
lekit,"lintrêg-lintrêg, isih plikêt.",l
leku,"meleku: sidhêku, kc. teleku.",l
lekuk,"dhêkok, lêgok, lêkik, ngowok tmr. mata.",l
lekum,"gorokan, gurung.",l
lekun,jogèd ut. tlèdhèk siyêm.,l
lekung,ngowok tmr. mata.,l
lekup,"swara mak krêpyêk, jêkluk.",l
lela,"tanjak, mainan tangan lsp. nalikane mêncak, njogèt lsp; melela: molahake awak ut. tangan nalikane mêncak, njogèt lsp; dilelakan: dipolahake tangane (awake) nalikane njogèt lsp.",l
lelah,"sayah, kêsêl bangêt; berlelah-lelah: ngrêkasa, kangelan.",l
lelai,"ut. melelai: mêntêlung, mêntiyung; berlelai-lelaian: pating pantiyung.",l
lelaian,ar. prau cilik.,l
lelak,mlotrok.,l
lelaki,lanang; kc. laki-laki.,l
lelang,lelang.,l
lelap,1 ilang; 2 kêpati.,l
lelar,"kêrêp, ambal-ambalan.",l
lelas,"nglinyam, mlècèt.",l
leleh,"ajèr, lèlèh; meleleh: ndlèwèr, ndlèdèk, dilelehkan: dijèr, dilèlèh; lelehan: jèjèran, banjêngan.",l
leler,"1 kêmproh; 2 ndlèwèr, mèlèr, molor; berleleran: dleweran, molor-molor.",l
leluasa,"rowa, nglantrah tmr. crita lsp.",l
lelung,lelang.,l
lemah,"1 lêmês, peloh, tanpa daya, pêpês, apês; 2 ringkih, sèkèng.",l
lemah-lembut,"1 alus sarèh tmr. gunêm, bêbudèn lsp; 2 sumilir alon tmr. angin.",l
lemah-liat,lêmês mêmbat.,l
lemah-lunglai,"nglumpruk tanpa daya, lêmês anglês.",l
lemak,"1 gajih, kêndhal; 2 nggajih, ngêndhal, nglênga.",l
lemak-ketam,(gajih yuyu) kuning sêmu klawu.,l
lemang,lêmêng.,l
lemari,lêmari.,l
lemas,"mati kêplêpêk (kêblêbêg).
--- 107 ---",l
lemau,"1 lêmês, ora kaku; 2 lêmês, tanpa daya; 3 mlêmpêm, ora kêmrisik.",l
lemba,godhong tlutuh ut. nyangkuh.,l
lembab,"1 mlêmpêm, ngêmu banyu tmr. têmbako lsp; 2 kêndho nggêbèbèr tmr. kêndhang lsp; 3 nglèmèr, klêlar-klêlêr tmr. tandang-tanduk.",l
lembaga,"1 kang asli, kang tulèn; 2 bêbakal, kang bakal dadi; 3 yêyasan; 'adat lembaga: padatan kang asli; lembagaan: pawakan.",l
lembah,"lêmbah, jurang lêlowahaning gunung.",l
lembai,kc. lambai.,l
lembak,"ut. melembak: lubèr, mbludag.",l
lembam,"nglèmèr, nglèlèr.",l
lembang,"1 lêgok têngah, dhêkok; 2 papak tmr. bathuk; 3 lêdhokan, jurang, lêmbah.",l
lembar,"1 êlêr (tmr. bolah, rambut lsp); 2 lêmbar(an); dilembar: dipluntu, diplintir; lembaran: lêmbaran.",l
lembayung,ar. têtuwuhan rambat; merah lembayung: abang sêmu wungu.,l
lembega,widuri.,l
"lembidang, lemidang",lambedang (pinggirane njêbèbèh).,l
lembih,ar. wit.,l
lembik,"1 êmpuk, lêmês (tmr. sêga); 2 kêndho, lêmbèk; 3 ent. kurang mêmpêng, nglokro.",l
lembing,tlêmpak.,l
lembok,"kêladuk, kokehan ênggone wèwèh, têtulung lsp.",l
lembu,sapi.,l
lembur,kc. lambur.,l
lemburu,ar. wit lan ar. iwak gêdhe.,l
lembut,"1 lêmês; 2 lumèr, alus; 3 alus sarèh tmr. bêbudèn.",l
lemena,kêre (klambi waja).,l
lempai,"1 nglèmbrèh tmr. gêndera lsp; 2 sèngklèh, dhèngklèh, mêntiyung tmr. pang, wulên lsp; 2 thelo-thelo.",l
lempang,"sumèlèh malang (ora prênah), sumladhang.",l
lempar,"dilempar: dibalang, disawat.",l
lempari,bngs. bêndhe.,l
lempaung,ar. wit.,l
lempenai,ut. rempenai: ar. têtuwuhan.,l
lemping,lèmpèng(an).,l
lempoyang,lêmpuyang.,l
lempui,ar. têtuwuhan.,l
lempuk,ar. panganan.,l
lempung,1 nggronggong ut. ngrokos kayata watu kambang; 2 ènthèng sarta êmpuk tmr. kayu.,l
lemukut,mênir; kc. melukut.,l
lena,"1 (ut. terlena): lena, ora krasa, kabêsturon; 2 kêpenak, kêpati ênggone turu; dilenakan: diturokake.",l
lenar,ngilêr (tmr. sêga lsp).,l
lencit,"melencit: mênculat, mêcuthat.",l
lencong,"melencong: mencong, nyimpang ênêre.",l
lencun,têlês kêproh.,l
lendaian,landheyan; lendaian keris: ukiran kêris.,l
lendeh,linggih leyehan.,l
lendir,"1 riyak, yiyyid; 2 ngyiyid, ayid, kithêr-kithêr.",l
lendut,"ngêndhêlong lêgok tmr. nam-naman, krêtêg lsp; melendut: ngêndhêlong, mlêngkung tmr. lakuning mimis lsp.",l
lenga,minyak lenga: lênga wijèn.,l
lengah,"lena, sêmbrana, tlompe; melengah: kêtlompèn, sêmbrana; pelengah: wong sêmbrana (ora ngati-ati).",l
lengai,"aras-arasên, rêmbên.",l
lengan,1 lêngên(an); 2 panjawat (tmr. tataning baris).,l
lengang,"1 sêpi, nyênyêt; 2 klowang-klawung, ora duwe gaweyan.",l
lengar,"yêr-yêran, kliyêng-kliyêng.",l
lengas,"ut. melengas: ngêmu banyu, rada têlês.",l
lenggak,"ndhêlak, ndhangak mêmburi.",l
lenggang,"i 1 anggong, ngaso; 2 lowah, lêga; 3 sêla ing pagaweyan. ii 1 lembehan; 2 obahing prau nalika mlaku; melenggang: 1 lembehan; 2 (ut. berlenggang) obah gonjing tmr. prau; dilenggang-lenggang(kan): dioyog-oyog, digobag-gabigake; lenggangan: bngs. kothak wangune kaya torong dianggo nyaring wêdhi kang katutan mas ure, panyaringe sarana dioyog-oyog.",l
lenggar,"rênggang, lêga, kobèt, ombèr.",l
lenggara,"di(se)lenggarakan: diupakara, diopèni.",l
lenggok,"melenggok, terlenggok-lenggok:
--- 108 ---",l
lengguai,bngs. slepa kagantungake ing bangkekan.,l
lenggundi,lêgundhi.,l
lengkang,mêlar mênga tmr. gêlang lsp.,l
lengkap,"ganêp, pêpak; berlengkap: tata-tata, miranti, mêpak; dilengkapi: 1 (ut. dilengkapkan) diganêpi, dipêpaki; 2 disrambahi; dilengkapkan: 1 diganêpi, dipêpaki; 2 diprantèni, ditata lan dicêpak-cêpakake, disiyagakake; kelengkapan: prabot-prabot, piranti-piranti (gêgaman lsp); selengkap: saprabot, saprangkat, sasêtèl.",l
lengkara,"i nglêngkara, prakara kang mokal. ii bngs. têrbang (kêndhang) gêdhe.",l
lengkok,"gudhang, omah gêbyog.",l
lengkuas,laos.,l
lengkung,"1 mlêngkung, mbêngkêluk; 2 kuwung; lengkungan: 1 plêngkungan, sisih kang mlêngkung; 2 kêkuwung.",l
lengkur,melengkur: ngorok.,l
lengos,melengos: mlengos.,l
lengser,"ut. melengser: 1 mletre, mlorod: 2 (baring-) têturon nggloso; dilengser: diosêr-osêri, diusari.",l
lengset,sèsèt ut. malik tmr. tlapukan.,l
lenguh,melenguh: mênggèh-mênggèh.,l
lengung,"melengung: lêngêr-lêngêr, dhêlêg-dhêlêg.",l
lening,"swara nèng, thèng.",l
lenja,"i kumêndêl, kaduk wani, sêslonong. ii blêngkêran (salang, kolongan) dianggo wêwadhah.",l
lenjuang,andong.,l
lentam-lentum,pating gabruk (rêgêdêg).,l
lentang,ut. telentang: mlumah.,l
lentera,"ting, lêntera.",l
lentik,"i nylêkênthung, nyanthuk mêmburi, sêmu mlêngkung kuwung tmr. pasahan untu. ii dilentik: dikêpyur-kêpyuri nganggo godhong ombyokan lsp.",l
lenting,"i swara cring, thing. ii melenting: mêndal, mêntul.",l
lentok,"peloh, sèngklèh, dhèngklèh.",l
lentuk,lêmês (gampang diêluk).,l
lentung,"swara dhung (thung, klung).",l
lentur,melentur: 1 mbêngkêluk; 2 mêntêlung; 3 nylêkênthung.,l
lenung,"swara nung, thung.",l
lenyak,1 kêpati tmr. turu; 2 adêg-adêg saka tmr. gangsingan.,l
lenyap,"ilang, sirna.",l
lenyau,ing dhuwur atos ing ngisor êmpuk (tmr. lêmah).,l
lepa,i lepa; dilepa: dilepa. ii sêmbrana; kc. alpa.,l
lepak,"mbludag, mubra-mubru. i swara kêplèk, tlêpèk.ii rawe-rawe ora bundhêt tmr. jenggot lsp., mêkar tmr. kapuk diwusoni.",l
lepang,bngs. timun.,l
lepas,"1 uwal, ucul, mrucut; 2 oncat, luwar; 3 miruda, minggat; 4 pocot; 5 kêpungkur, bakda, lêbar; lepas tangan: 1 mung bayar thok (tanpa ingon); 2 ora nganggo nyêkêl; dilepas: dicopot, dipocot; dilepaskan: 1 diuculi, diuculake, diluwari, dioncatake saka bêbaya; 2 dililani, dikon; kelepasan: libur, pamocote.",l
lepat,lêpêt.,l
lepau,"1 peranganing omah kang ngarêp; 2 bango, warung.",l
leper,"1 cèpèr, ora jêgong; 2 kagok tmr. pakêcapan kyt. saya diucapake saye; leper-leper: ambal, blabag wod.",l
lepih,"nglêmpit, nêkuk tmr. dluwang lsp.",l
lepik,"swara kêthêplèk, krêpêk.",l
lepu,ar. iwak sêgara.,l
lepuh,"melepuh: mlêmpung, mlênthung.",l
lepuk,"swara kapluk, blug.",l
lepur,mati lepur: mati kêblêbêg ing êmbêl lsp.,l
lerah,"(ut. terlerah): rusak, bubrah, pating slêbar.",l
lerai,dilerai: dipisah tmr. wong padu lsp kc. larai.,l
lerak,"i 1 rusak, bujat pisah-pisah tmr. prau, omah lsp; 2 rontang-ranting tmr. jarit lsp; dilerak: dirusak, dibujati. ii buah lerak: woh lêrak. iii swara rêkêtêk.",l
leram,"swara gumlêgêr, kumrumpyung.",l
lerang,"1 lajur tmr. barang tênunan; 2 ukuran dohing palayaran (± 225 m) ut. suwening layaran (12 jam); 3 amben-ambenan, bngs. tandhu.
--- 109 ---",l
lerap,bngs. dhuwit gobog.,l
lereng,"1 lumahing pinggiran tmr. barang kang gèpèng kaya dhuwit; 2 (-gunung) pèrènging gunung; lereng-lereng: glindhingan cilik ing sikil têmpat tidhur lsp; melereng: ngglindhing (tmr. dhuwit, rodha lsp).",l
leret,"1 (ut. meleret) mlètrè, mblèndèr; 2 nglantrah, ngganyik tmr. gunêman; 3 larikan; berleret: lêlarikan.",l
lerum,swara glêgêr.,l
lerus-leras,"swara srêk-srêk, pating krêsêk.",l
lesa,wêlah cêndhak; melesa: mêlahi nganggo wêlah cêndhak.,l
lesa-lesu,kêsêl bangêt.,l
lesak,hujan lesak: udan nggrêjih.,l
lesap,ilang.,l
leser,jrambah kang wis digêlari klasa lsp.,l
lesi,"kanji, êntèk kawanène; pucat lesi: pucêt bangêt.",l
lesih,ngêmbus-êmbus pucêt.,l
lesing,"melesing: nywara suwit-suwit, siyut-siyut.",l
lesit,"melesit: nywara prit-prit, suwit-suwit.",l
lesot,têkukan (lêmpidan) cilik.,l
lesu,"lêsu, cape, kêsêl bangêt.",l
lesung,lêsung.,l
lesut,melesut: nywara sumiyut.,l
leta,"cacad, ala, rusak.",l
letak,"i sèlèh, dunung; diletakkan: disèlèhake, didunungake, diprênahake, didokokake; terletak: sumèlèh. ii swara klathak. iii nglêntruk, nyêkukruk, tanpa daya.",l
letam,swara glêgêr.,l
letang,"i swara cring, klinthing. ii swara crèng, thèng.",l
letap,kc. letup.,l
letas,kc. letus.,l
leter,"beleter: tansah nywara, ent. criwis, crèwèt.",l
letih,"(-lelah, -lesu) kêsêl bangêt, tanpa daya.",l
leting,"swara cring, thing.",l
letis,diletis: dikêpyuri banyu nganggo tangan.,l
letuk,"swara dhog, thog.",l
letum,swara glêgêr.,l
letum-letam,pating glêgêr.,l
letung,swara thung.,l
letup,"meletup: njêblug, mblêdhos.",l
letup-letap,pating jrêdhot.,l
letus,"meletus: njêblug, mblêdhos.",l
lewat,"liwat, kêliwat.",l
lezat,"enak, kêpenak; kc. lazat.",l
liang,"lèng, bolongan, gronggongan.",l
liar,"kêsit, jarah, ora tutut.",l
lias,kêdhot.,l
liat,"alot, wulêd; tanah liat: lêmpung.",l
licau,"mêlêng-mêlêng, nglênga, klicit.",l
licin,"lunyu, klimis.",l
licin-licat,lunyu (klimis) bangêt.,l
